id;issue;status;statusText;type;typeText;priority;priorityText;created;createdTimestamp;reporter;assignee;Acquittement;Résolution
131835;MANTMA-7;5;RESOLVED;8;Sub-task;5;Trivial;2014/01/23 11:31:24;1390473084000;mgallien;mgallien;0;19598000
131836;MANTMA-8;1;OPEN;8;Sub-task;3;Major;2014/01/23 11:32:49;1390473169000;mgallien;moueslati;0;3635847332
131839;MANTMA-11;6;CLOSED;8;Sub-task;5;Trivial;2014/01/23 11:35:35;1390473335000;mgallien;jpgerard;0;2325494000
131849;MANTMA-10;1;OPEN;8;Sub-task;5;Trivial;2014/01/23 11:49:15;1390474155000;mgallien;ppetit;0;3418120332
131912;MANTMA-18;1;OPEN;8;Sub-task;5;Trivial;2014/01/23 16:05:25;1390489525000;mgallien;ppetit;0;3619491332
131918;MANTMA-6;1;OPEN;8;Sub-task;5;Trivial;2014/01/23 16:10:11;1390489811000;mgallien;mgallien;0;3619205332
131919;MANTMA-9;1;OPEN;8;Sub-task;5;Trivial;2014/01/23 16:13:23;1390490003000;mgallien;mgallien;0;3619013332
131921;MANTMA-5;6;CLOSED;8;Sub-task;5;Trivial;2014/01/23 16:19:07;1390490347000;mgallien;mgallien;0;2308206000
132603;MANTMA-2;6;CLOSED;59;MCO;5;Trivial;2014/01/30 11:26:49;1391077609000;mgallien;ppetit;3225000;19000
132616;MANTMA-3;5;RESOLVED;107;EVO1 - Majeure;3;Major;2014/01/30 12:16:40;1391080600000;mgallien;ppetit;324000;797038000
132773;MANTMA-4;1;OPEN;107;EVO1 - Majeure;3;Major;2014/01/31 11:58:39;1391165919000;amonfort;mgallien;16000;3418281332
132905;MANTMA-12;3;IN PROGRESS;106;PIL;3;Major;2014/02/02 22:15:49;1391375749000;amonfort;amonfort;0;3396616332
133230;MANTMA-13;6;CLOSED;108;EVO1 - Mineure;5;Trivial;2014/02/05 11:32:12;1391596332000;mgallien;ppetit;117603000;52000
133762;MANTMA-14;5;RESOLVED;108;EVO1 - Mineure;5;Trivial;2014/02/10 14:21:42;1392038502000;mgallien;ppetit;126000;23000
134226;MANTMA-15;6;CLOSED;108;EVO1 - Mineure;5;Trivial;2014/02/13 19:11:39;1392315099000;mgallien;ppetit;0;0
134227;MANTMA-16;5;RESOLVED;108;EVO1 - Mineure;3;Major;2014/02/13 19:17:49;1392315469000;mgallien;ppetit;180000000;360000000
134230;MANTMA-17;1;OPEN;106;PIL;5;Trivial;2014/02/13 19:29:42;1392316182000;mgallien;mgallien;0;3072616332
134525;MANTMA-19;6;CLOSED;59;MCO;3;Major;2014/02/17 11:52:04;1392634324000;mgallien;ppetit;58076000;0
134981;MANTMA-20;6;CLOSED;108;EVO1 - Mineure;3;Major;2014/02/20 10:42:52;1392889372000;mgallien;ppetit;26228000;0
